year,city,spend_per_resident_data,pct_near_park_points
2014,Tampa,121,20
2014,Austin,67,16
2014,Riverside,115,14
2014,Las Vegas,207,14
2014,"Arlington, Texas",77,18
2014,Bakersfield,89,10
2014,Dallas,81,18
2014,Anaheim,68,22
2014,Fort Worth,84,18
2014,Tulsa,37,18
2014,Atlanta,87,24
2014,Tucson,97,18
2014,El Paso,34,16
2014,Los Angeles,60,18
2014,Nashville,62,8
2014,Columbus,65,16
2014,Houston,41,14
2014,Miami,79,28
2014,Wichita,49,16
2014,Jacksonville,38,4
2014,Santa Ana,40,26
2014,Memphis,65,10
2014,San Antonio,56,6
2014,Oklahoma City,58,10
2014,Mesa,75,22
2014,Charlotte,69,2
2014,Indianapolis,34,4
2014,Louisville,55,4
2014,Fresno,51,16
2013,Minneapolis,210.33,38
2013,New York,160.33,40
2013,San Francisco,280.67,40
2013,Sacramento,156.67,30
2013,Boston,110.33,40
2013,"Washington, DC",343.67,40
2013,Portland,159,32
2013,Virginia Beach,144.67,22
2013,San Diego,115.67,30
2013,Seattle,261,38
2013,San Jose,140.33,26
2013,Albuquerque,64.33,32
2013,Omaha,57.46,30
2013,Colorado Springs,61.67,26
2013,Philadelphia,54.46,36
2013,Chicago,138.67,36
2013,Denver,131.33,30
2013,Oakland,122.33,34
2013,Milwaukee,70.67,34
2013,Raleigh,140.67,18
2013,Baltimore,61.18,34
2013,Long Beach,125,30
2013,Kansas City,127.33,24
2013,Phoenix,111.67,14
2013,Cleveland,88,30
2013,Dallas,98,18
2013,Austin,66.33,16
2013,Detroit,28.33,30
2013,Las Vegas,230,14
2013,"Arlington, Texas",76.33,18
2013,Tulsa,38.5,18
2013,Atlanta,90.33,24
2013,Fort Worth,76.37,18
2013,Los Angeles,59,18
2013,Wichita,54.67,16
2013,El Paso,31.67,16
2013,Columbus,62.33,16
2013,Tucson,102.67,18
2013,Miami,75.97,28
2013,Nashville,72,8
2013,Houston,43.33,14
2013,Memphis,69.41,10
2013,Oklahoma City,63.33,12
2013,San Antonio,56,6
2013,Jacksonville,44.85,4
2013,Mesa,69.33,22
2013,Charlotte,77.33,2
2013,Indianapolis,40.33,6
2013,Louisville,49.67,6
2013,Fresno,57.67,16
2012,San Francisco,291.66,40
2012,Sacramento,156.62,30
2012,New York,152.39,40
2012,Boston,105.7,40
2012,"Washington, DC",303.45,40
2012,Portland,162.45,30
2012,Virginia Beach,139.63,22
2012,San Diego,121.47,28
2012,Seattle,260.77,36
2012,Philadelphia,65.71,36
2012,Albuquerque,60.11,32
2012,San Jose,135.68,26
2012,Denver,122.38,30
2012,Chicago,128.08,36
2012,Baltimore,62.63,34
2012,Kansas City,135.06,24
2012,Milwaukee,59.54,34
2012,Phoenix,128.52,14
2012,Long Beach,130.54,26
2012,Austin,71.57,16
2012,Dallas,110.03,18
2012,Detroit,31,30
2012,Las Vegas,218.93,14
2012,Fort Worth,76.16,18
2012,Los Angeles,55.14,18
2012,Atlanta,99.39,22
2012,El Paso,31.12,14
2012,Columbus,68.94,16
2012,Nashville,91.33,8
2012,Houston,42.99,14
2012,Tucson,100.64,18
2012,Memphis,60.32,12
2012,Oklahoma City,61.02,12
2012,Jacksonville,44.82,4
2012,San Antonio,62.79,6
2012,Indianapolis,43.61,6
2012,Mesa,60.96,22
2012,Louisville,50.76,6
2012,Charlotte,78.94,2
2012,Fresno,54.98,8
